TLX_MentalDemand,TLX_PhysicalDemand,TLX_TimeDemand,TLX_Performance,TLX_Effort,TLX_Frustration,Condition,Overall
80,45,100,50,70,75,Control,70.0
70,40,90,50,65,65,Visual,63.333333333333336
70,45,95,50,75,75,EMS,68.33333333333333
70,50,90,40,70,70,EMSVisual,65.0
75,10,10,5,75,50,Visual,37.5
75,65,30,5,75,60,EMSVisual,51.666666666666664
80,10,10,0,85,10,Control,32.5
75,30,10,10,65,65,EMS,42.5
85,50,70,25,25,85,EMSVisual,56.666666666666664
50,70,50,30,70,50,EMS,53.333333333333336
35,70,50,10,35,25,Visual,37.5
10,30,10,10,25,10,Control,15.833333333333334
60,15,15,10,50,5,EMS,25.833333333333332
60,55,50,25,50,40,Control,46.666666666666664
60,55,35,15,20,10,EMSVisual,32.5
45,45,25,5,10,5,Visual,22.5
15,15,35,15,30,30,Control,23.333333333333332
35,20,35,15,30,20,Visual,25.833333333333332
5,55,25,5,15,5,EMS,18.333333333333332
5,10,25,0,5,20,EMSVisual,10.833333333333334
40,10,50,20,25,75,Visual,36.666666666666664
5,30,50,0,10,75,EMSVisual,28.333333333333332
60,5,50,30,35,25,Control,34.166666666666664
25,35,50,5,25,80,EMS,36.666666666666664
65,25,75,35,75,75,EMSVisual,58.333333333333336
70,20,80,25,75,70,EMS,56.666666666666664
70,15,85,20,80,60,Visual,55.0
70,10,70,10,75,20,Control,42.5
80,20,65,50,35,65,EMS,52.5
65,15,65,15,35,65,Control,43.333333333333336
75,25,65,50,60,65,EMSVisual,56.666666666666664
35,40,70,25,65,65,Visual,50.0
80,20,90,60,85,90,Visual,70.83333333333333
55,80,100,85,75,60,EMSVisual,75.83333333333333
65,35,40,85,35,10,Control,45.0
75,95,95,85,95,55,EMS,83.33333333333333
75,0,90,45,70,70,EMSVisual,58.333333333333336
85,0,85,65,35,60,EMS,55.0
55,0,75,70,65,35,Visual,50.0
55,0,85,40,60,25,Control,44.166666666666664
80,20,75,80,30,25,EMS,51.666666666666664
95,20,80,70,90,65,Control,70.0
85,15,85,75,85,95,EMSVisual,73.33333333333333
90,20,90,95,90,5,Visual,65.0
50,15,70,70,50,60,Control,52.5
35,15,15,40,40,35,Visual,30.0
20,20,15,15,15,15,EMS,16.666666666666668
25,15,25,20,20,20,EMSVisual,20.833333333333332
90,20,85,30,75,55,Visual,59.166666666666664
70,30,75,55,55,35,EMSVisual,53.333333333333336
50,25,60,50,50,30,Control,44.166666666666664
60,30,65,50,55,15,EMS,45.833333333333336
65,0,10,70,15,50,EMSVisual,35.0
75,5,30,65,15,15,EMS,34.166666666666664
15,5,15,65,15,20,Visual,22.5
15,5,15,50,15,55,Control,25.833333333333332
